Regione ,% montagna ,% collina ,% pianura 
Trentino-Alto Adige,100,0,0
Valle d'Aosta,100,0,0
Abruzzo,65.1,34.9,0
Liguria,65.1,34.9,0
Molise,55.3,44.7,0
Basilicata,46.8,45.1,8
Piemonte,43.3,30.3,26.4
Friuli-Venezia Giulia,42.5,19.3,38.1
Calabria,41.8,49.2,9
Lombardia,40.5,12.4,47.1
Campania,34.6,50.8,14.7
Marche,31,69,0
Umbria,29.3,70.7,0
Veneto,29.1,14.5,56.4
Lazio,26.1,54,19.9
Emilia-Romagna,25.1,27.1,47.8
Toscana,25.1,66.5,8.4
Sicilia,24.4,61.4,14.2
Sardegna,13.6,67.9,18.5
Puglia,1.4,45.3,53.3
